date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:35:26	23/23	---M--	200	added ('OK')	text/plain	etag:%2217-57d74644d0200%22	http://10.13.200.71/robots.txt		(from )
06:35:26	1759/1759	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2023:35:25%20GMT	http://10.13.200.71/	C:/My%20Web%20Sites/cekpos/10.13.200.71/index.html	(from )
06:35:26	146010/146010	---M-Z	200	added ('OK')	text/css	etag:%2223a5a-57d77efadecec-gzip%22	http://10.13.200.71/assets/996b6250/css/bootstrap.css	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/996b6250/css/bootstrap.css	(from http://10.13.200.71/)
06:35:27	1842/1842	---M-Z	200	added ('OK')	text/css	etag:%22732-57d74644d0200-gzip%22	http://10.13.200.71/css/site.css	C:/My%20Web%20Sites/cekpos/10.13.200.71/css/site.css	(from http://10.13.200.71/)
06:35:27	1759/1759	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2023:35:26%20GMT	http://10.13.200.71/index.php	C:/My%20Web%20Sites/cekpos/10.13.200.71/index-2.html	(from http://10.13.200.71/)
06:35:27	1759/1759	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2023:35:26%20GMT	http://10.13.200.71/index.php?r=site%2Findex	C:/My%20Web%20Sites/cekpos/10.13.200.71/indexebcf.html	(from http://10.13.200.71/)
06:35:27	4601/4601	---M-Z	200	added ('OK')	text/html	date:Sun,%2021%20Jan%202024%2023:35:26%20GMT	http://10.13.200.71/index.php?r=site%2Flogin	C:/My%20Web%20Sites/cekpos/10.13.200.71/index2e76.html	(from http://10.13.200.71/)
06:35:28	20203/20203	---M-Z	200	added ('OK')	application/javascript	etag:%224eeb-57d77efadecec-gzip%22	http://10.13.200.71/assets/2306a74e/yii.js	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/2306a74e/yii.js	(from http://10.13.200.71/)
06:35:30	69707/69707	---M-Z	200	added ('OK')	application/javascript	etag:%221104b-57d77efadecec-gzip%22	http://10.13.200.71/assets/996b6250/js/bootstrap.js	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/996b6250/js/bootstrap.js	(from http://10.13.200.71/)
06:35:30	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-57d77efadecec%22	http://10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.html	(from http://10.13.200.71/assets/996b6250/css/bootstrap.css)
06:35:32	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-57d77efadecec%22	http://10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.eot	(from http://10.13.200.71/assets/996b6250/css/bootstrap.css)
06:35:32	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-57d77efadecec%22	http://10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regulard41d.eot	(from http://10.13.200.71/assets/996b6250/css/bootstrap.css)
06:35:33	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-57d77efadecec%22	http://10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.svg	(from http://10.13.200.71/assets/996b6250/css/bootstrap.css)
06:35:34	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-57d77efadecec%22	http://10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.woff	(from http://10.13.200.71/assets/996b6250/css/bootstrap.css)
06:35:34	15760/15760	---M-Z	200	added ('OK')	application/javascript	etag:%223d90-57d77efadecec-gzip%22	http://10.13.200.71/assets/2306a74e/yii.validation.js	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/2306a74e/yii.validation.js	(from http://10.13.200.71/index.php?r=site%2Flogin)
06:35:36	32614/32614	---M-Z	200	added ('OK')	application/javascript	etag:%227f66-57d77efadecec-gzip%22	http://10.13.200.71/assets/2306a74e/yii.activeForm.js	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/2306a74e/yii.activeForm.js	(from http://10.13.200.71/index.php?r=site%2Flogin)
06:35:36	268039/268039	---MCZ	200	added ('OK')	application/javascript	etag:%2241707-57d77efadecec-gzip%22	http://10.13.200.71/assets/5fff842/jquery.js	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/5fff842/jquery.js	(from http://10.13.200.71/)
06:35:37	45404/45404	---M--	200	added ('OK')	application/font-sfnt	etag:%22b15c-57d77efadecec%22	http://10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/cekpos/10.13.200.71/assets/996b6250/fonts/glyphicons-halflings-regular.ttf	(from http://10.13.200.71/assets/996b6250/css/bootstrap.css)
